"No.","Time","Source","Destination","Protocol","Length","Stream index","Info"
"53","5.322102874","fe80::6cdf:24ff:feae:bf7","ff02::1:ff34:4c65","ICMPv6","86","","Neighbor Solicitation for 2409:4043:2c8d:a357:4c15:6e42:4d34:4c65 from 6e:df:24:b1:0e:fa"
"54","5.322182149","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","fe80::6cdf:24ff:feae:bf7","ICMPv6","86","","Neighbor Advertisement 2409:4043:2c8d:a357:4c15:6e42:4d34:4c65 (sol, ovr) is at 20:16:b9:48:0b:f7"
"55","6.808894749","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4003:c00::bd","UDP","95","","40628  >  443 Len=33"
"56","7.168676068","2404:6800:4003:c00::bd","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","88","","443  >  40628 Len=26"
"57","7.510108067","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","TCP","86","1","54698  >  443 [FIN, ACK] Seq=650 Ack=793 Win=64256 Len=0 TSval=2772005534 TSecr=1752841509"
"58","7.592801943","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","TCP","86","1","443  >  54698 [FIN, ACK] Seq=793 Ack=651 Win=66816 Len=0 TSval=1752845748 TSecr=2772005534"
"59","7.592879065","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","TCP","86","1","54698  >  443 [ACK] Seq=651 Ack=794 Win=64256 Len=0 TSval=2772005617 TSecr=1752845748"
"60","8.191739067","2404:6800:4007:80b::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","110","","443  >  54283 Len=48"
"61","8.191739517","2404:6800:4007:80b::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","87","","443  >  54283 Len=25"
"62","8.209598958","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80b::200e","UDP","95","","54283  >  443 Len=33"
"63","8.210350698","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80b::200e","UDP","585","","54283  >  443 Len=523"
"64","8.598788314","6e:df:24:b1:0e:fa","ff:ff:ff:ff:ff:ff","ARP","42","","Who has 192.168.225.135? Tell 192.168.225.1"
"65","8.599625897","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80b::200e","UDP","585","","54283  >  443 Len=523"
"66","8.601670190","2404:6800:4007:80b::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","92","","443  >  54283 Len=30"
"67","8.601670780","2404:6800:4007:80b::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","87","","443  >  54283 Len=25"
"68","8.618563706","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80b::200e","UDP","95","","54283  >  443 Len=33"
"69","8.727284041","2404:6800:4007:80b::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","424","","443  >  54283 Len=362"
"70","8.727608308","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80b::200e","UDP","101","","54283  >  443 Len=39"
"71","8.727841963","2404:6800:4007:80b::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","109","","443  >  54283 Len=47"
"72","8.727842115","2404:6800:4007:80b::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","88","","443  >  54283 Len=26"
"73","8.744687763","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80b::200e","UDP","95","","54283  >  443 Len=33"
"74","9.010588274","2404:6800:4007:80b::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","88","","443  >  54283 Len=26"
"75","10.712037748","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","QUIC","1388","","Protected Payload (KP0), DCID=f85e0bb971af2a84"
"76","10.712112363","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","QUIC","1388","","Protected Payload (KP0), DCID=f85e0bb971af2a84"
"77","10.712129857","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","QUIC","813","","Protected Payload (KP0), DCID=f85e0bb971af2a84"
"78","10.854876575","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","89","","Protected Payload (KP0)"
"79","10.856351099","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","87","","Protected Payload (KP0)"
"80","10.880925538","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","QUIC","95","","Protected Payload (KP0), DCID=f85e0bb971af2a84"
"81","11.469422845","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","423","","Protected Payload (KP0)"
"82","11.469423141","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","956","","Protected Payload (KP0)"
"83","11.469423190","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","96","","Protected Payload (KP0)"
"84","11.469423244","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","175","","Protected Payload (KP0)"
"85","11.469707270","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","QUIC","97","","Protected Payload (KP0), DCID=f85e0bb971af2a84"
"86","11.469805577","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","QUIC","95","","Protected Payload (KP0), DCID=f85e0bb971af2a84"
"87","11.496130576","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80f::200e","QUIC","95","","Protected Payload (KP0), DCID=f85e0bb971af2a84"
"88","11.571311742","2404:6800:4007:80f::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","QUIC","87","","Protected Payload (KP0)"
"89","12.706514467","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","155","","34475  >  443 Len=93"
"90","12.832769458","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","89","","443  >  34475 Len=27"
"91","12.832770149","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","198","","443  >  34475 Len=136"
"92","12.832770279","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","87","","443  >  34475 Len=25"
"93","12.833549380","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","97","","34475  >  443 Len=35"
"94","12.859552323","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","95","","34475  >  443 Len=33"
"95","12.936707004","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","87","","443  >  34475 Len=25"
"96","15.001471703","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4003:c03::bd","UDP","95","","52968  >  443 Len=33"
"97","15.330158297","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4003:c03::bd","UDP","95","","52968  >  443 Len=33"
"98","15.334235013","2404:6800:4003:c03::bd","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","88","","443  >  52968 Len=26"
"99","15.460583466","2404:6800:4003:c03::bd","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","89","","443  >  52968 Len=27"
"100","17.255131711","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4003:c04::bd","UDP","95","","48971  >  443 Len=33"
"101","17.613784178","2404:6800:4003:c04::bd","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","88","","443  >  48971 Len=26"
"102","17.747901316","2404:6800:4003:c00::bd","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","110","","443  >  40628 Len=48"
"103","17.773927409","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4003:c00::bd","UDP","95","","40628  >  443 Len=33"
"104","21.709520461","2404:6800:4003:c00::bd","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","110","","443  >  40628 Len=48"
"105","21.735121941","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4003:c00::bd","UDP","95","","40628  >  443 Len=33"
"106","23.211208634","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80b::200e","UDP","95","","54283  >  443 Len=33"
"107","23.552251848","2404:6800:4007:80b::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","87","","443  >  54283 Len=25"
"108","23.708184014","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","175","","34475  >  443 Len=113"
"109","23.962633045","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","89","","443  >  34475 Len=27"
"110","23.962633466","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","174","","443  >  34475 Len=112"
"111","23.962633597","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","87","","443  >  34475 Len=25"
"112","23.963348441","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","97","","34475  >  443 Len=35"
"113","23.988831244","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","95","","34475  >  443 Len=33"
"114","24.062837093","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","87","","443  >  34475 Len=25"
"115","24.063206715","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","95","","34475  >  443 Len=33"
"116","24.110512579","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","87","","443  >  34475 Len=25"
"117","24.707766681","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","156","","34475  >  443 Len=94"
"118","24.711667652","2404:6800:4003:c03::bd","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","110","","443  >  52968 Len=48"
"119","24.737164378","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4003:c03::bd","UDP","95","","52968  >  443 Len=33"
"120","24.784304421","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","89","","443  >  34475 Len=27"
"121","24.810067468","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","95","","34475  >  443 Len=33"
"122","24.841962828","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","174","","443  >  34475 Len=112"
"123","24.841963223","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","87","","443  >  34475 Len=25"
"124","24.842511277","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","97","","34475  >  443 Len=35"
"125","24.868755446","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","95","","34475  >  443 Len=33"
"126","25.140344671","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","95","","34475  >  443 Len=33"
"127","25.144622302","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","87","","443  >  34475 Len=25"
"128","25.234051956","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","87","","443  >  34475 Len=25"
"129","29.287815046","2404:6800:4003:c04::bd","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","110","","443  >  48971 Len=48"
"130","29.314129672","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4003:c04::bd","UDP","95","","48971  >  443 Len=33"
"131","32.712920896","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","156","","34475  >  443 Len=94"
"132","32.974342907","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","91","","443  >  34475 Len=29"
"133","32.974343344","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","174","","443  >  34475 Len=112"
"134","32.974343482","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","87","","443  >  34475 Len=25"
"135","32.975074944","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","97","","34475  >  443 Len=35"
"136","33.000422643","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:809::2003","UDP","95","","34475  >  443 Len=33"
"137","33.098919094","2404:6800:4007:809::2003","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","87","","443  >  34475 Len=25"
"138","33.605096765","192.168.225.121","91.189.94.4","NTP","90","","NTP Version 4, client"
"139","34.057720105","91.189.94.4","192.168.225.121","NTP","90","","NTP Version 4, server"
"140","34.702913541","192.168.225.121","35.174.127.31","TLSv1.2","398","2","Application Data"
"141","35.021447756","35.174.127.31","192.168.225.121","TCP","66","2","443  >  41724 [ACK] Seq=1 Ack=333 Win=724 Len=0 TSval=451291825 TSecr=1129310899"
"142","35.021448263","35.174.127.31","192.168.225.121","TLSv1.2","435","2","Application Data"
"143","35.021507934","192.168.225.121","35.174.127.31","TCP","66","2","41724  >  443 [ACK] Seq=333 Ack=370 Win=499 Len=0 TSval=1129311218 TSecr=451291825"
"144","35.154396499","6e:df:24:b1:0e:fa","ff:ff:ff:ff:ff:ff","ARP","42","","Who has 192.168.225.121? Tell 192.168.225.1"
"145","35.154427973","20:16:b9:48:0b:f7","6e:df:24:b1:0e:fa","ARP","42","","192.168.225.121 is at 20:16:b9:48:0b:f7"
"146","36.710662107","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4003:c00::bd","UDP","95","","40628  >  443 Len=33"
"147","36.966397720","2404:6800:4003:c00::bd","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","88","","443  >  40628 Len=26"
"148","37.532474879","192.168.225.121","140.82.113.26","TCP","66","3","55264  >  443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1048378027 TSecr=2072719534"
"149","37.886561441","2404:6800:4007:80b::200e","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","109","","443  >  54283 Len=47"
"150","37.887364400","140.82.113.26","192.168.225.121","TCP","66","3","[TCP ACKed unseen segment] 443  >  55264 [ACK] Seq=1 Ack=2 Win=68 Len=0 TSval=2072765122 TSecr=1048332410"
"151","37.903213454","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4007:80b::200e","UDP","95","","54283  >  443 Len=33"
"152","39.712140382","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4003:c03::bd","UDP","95","","52968  >  443 Len=33"
"153","39.934222976","2404:6800:4003:c03::bd","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","88","","443  >  52968 Len=26"
"154","40.340366623","fe80::6cdf:24ff:feae:bf7","ff02::1:ff34:4c65","ICMPv6","86","","Neighbor Solicitation for 2409:4043:2c8d:a357:4c15:6e42:4d34:4c65 from 6e:df:24:b1:0e:fa"
"155","40.340436381","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","fe80::6cdf:24ff:feae:bf7","ICMPv6","86","","Neighbor Advertisement 2409:4043:2c8d:a357:4c15:6e42:4d34:4c65 (sol, ovr) is at 20:16:b9:48:0b:f7"
"156","40.656718719","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4003:c04::bc","TCP","86","4","39404  >  5228 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2009242913 TSecr=4218670193"
"157","40.854041824","2404:6800:4003:c04::bc","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","TCP","86","4","[TCP ACKed unseen segment] 5228  >  39404 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=4218715308 TSecr=2009058723"
"158","41.977991025","6e:df:24:b1:0e:fa","ff:ff:ff:ff:ff:ff","ARP","42","","Who has 192.168.225.135? Tell 192.168.225.1"
"159","44.084980027","2404:6800:4003:c00::bd","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","110","","443  >  40628 Len=48"
"160","44.111096973","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4003:c00::bd","UDP","95","","40628  >  443 Len=33"
"161","44.288871023","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","2404:6800:4003:c04::bd","UDP","95","","48971  >  443 Len=33"
"162","44.699025341","2404:6800:4003:c04::bd","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","88","","443  >  48971 Len=26"
"163","45.468263174","fe80::4c2c:be6b:7951:be66","fe80::6cdf:24ff:feae:bf7","ICMPv6","86","","Neighbor Solicitation for fe80::6cdf:24ff:feae:bf7 from 20:16:b9:48:0b:f7"
"164","45.522079594","fe80::6cdf:24ff:feae:bf7","fe80::4c2c:be6b:7951:be66","ICMPv6","78","","Neighbor Advertisement fe80::6cdf:24ff:feae:bf7 (rtr, sol)"
"165","45.724309290","fe80::4c2c:be6b:7951:be66","fe80::155c:ead8:f61c:38ce","ICMPv6","86","","Neighbor Solicitation for fe80::155c:ead8:f61c:38ce from 20:16:b9:48:0b:f7"
"166","45.734714705","fe80::6cdf:24ff:feae:bf7","fe80::4c2c:be6b:7951:be66","ICMPv6","174","","Redirect"
"167","45.734715033","fe80::155c:ead8:f61c:38ce","fe80::4c2c:be6b:7951:be66","ICMPv6","86","","Neighbor Advertisement fe80::155c:ead8:f61c:38ce (rtr, sol, ovr) is at 6e:df:24:b1:0e:fa"
"168","47.700578497","192.168.225.121","91.108.56.164","SSL","155","0","Continuation Data"
"169","47.810766713","91.108.56.164","192.168.225.121","SSL","155","0","Continuation Data"
"170","47.810819096","192.168.225.121","91.108.56.164","TCP","66","0","36680  >  443 [ACK] Seq=243 Ack=179 Win=665 Len=0 TSval=1302645485 TSecr=1166358366"
"171","48.735714207","fe80::6cdf:24ff:feae:bf7","fe80::4c2c:be6b:7951:be66","ICMPv6","134","","Destination Unreachable (Address unreachable)"
"172","50.577996905","fe80::6cdf:24ff:feae:bf7","fe80::4c2c:be6b:7951:be66","ICMPv6","86","","Neighbor Solicitation for fe80::4c2c:be6b:7951:be66 from 6e:df:24:b1:0e:fa"
"173","50.578051598","fe80::4c2c:be6b:7951:be66","fe80::6cdf:24ff:feae:bf7","ICMPv6","78","","Neighbor Advertisement fe80::4c2c:be6b:7951:be66 (sol)"
"174","50.590026158","2404:6800:4003:c00::bd","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","110","","443  >  40628 Len=48"
"175","50.590026449","2404:6800:4003:c00::bd","2409:4043:2c8d:a357:4c15:6e42:4d34:4c65","UDP","88","","443  >  40628 Len=26"
